year, month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct, weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted
2015,1,DL,Delta Air Lines Inc.,MIA,"Miami, FL: Miami International",745,96,31.14,12.98,32.02,0,19.86,13,1
2015,1,DL,Delta Air Lines Inc.,GSO,"Greensboro/High Point, NC: Piedmont Triad International",116,11,5.93,0.07,1.09,0,3.91,0,0
2015,1,DL,Delta Air Lines Inc.,FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",1009,117,41.23,11.95,40.74,0,23.07,16,0
2015,1,DL,Delta Air Lines Inc.,MSP,"Minneapolis, MN: Minneapolis-St Paul International",4180,510,162.19,34.9,177.25,0,135.66,26,1
2015,1,DL,Delta Air Lines Inc.,SJU,"San Juan, PR: Luis Munoz Marin International",297,48,13.17,10.11,18.21,0.88,5.62,8,1
2015,1,DL,Delta Air Lines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",18529,2033,590.49,99.56,781.59,1.64,559.72,99,14
2015,1,DL,Delta Air Lines Inc.,SEA,"Seattle, WA: Seattle/Tacoma International",897,138,45.16,11.84,50.48,0,30.52,5,2
2015,1,DL,Delta Air Lines Inc.,SLC,"Salt Lake City, UT: Salt Lake City International",2680,270,103.53,21.39,66.45,0,78.64,12,1
2015,1,DL,Delta Air Lines Inc.,LAX,"Los Angeles, CA: Los Angeles International",1797,178,71.12,21.91,54.08,1,29.89,13,4
2015,1,DL,Delta Air Lines Inc.,BOI,"Boise, ID: Boise Air Terminal",88,10,3.76,0,3.49,0,2.75,0,0
2015,1,DL,Delta Air Lines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",570,87,33.16,1.94,42.76,0,9.15,1,0
2015,1,DL,Delta Air Lines Inc.,PDX,"Portland, OR: Portland International",338,56,24.45,2.85,19.38,0,9.32,1,3
2015,1,DL,Delta Air Lines Inc.,JFK,"New York, NY: John F. Kennedy International",2077,454,86.07,13.75,237.21,0,116.97,94,2
2015,1,DL,Delta Air Lines Inc.,SFO,"San Francisco, CA: San Francisco International",622,88,26.43,7.55,44.04,0,9.97,6,2
2015,1,DL,Delta Air Lines Inc.,IND,"Indianapolis, IN: Indianapolis International",383,48,18.1,4.19,15.91,0,9.79,0,0
2015,1,DL,Delta Air Lines Inc.,SAT,"San Antonio, TX: San Antonio International",209,27,8.77,2.78,6.68,0,8.77,0,0
2015,1,DL,Delta Air Lines Inc.,RSW,"Fort Myers, FL: Southwest Florida International",582,65,30.09,5.27,19.55,0,10.09,1,0
2015,1,DL,Delta Air Lines Inc.,DAY,"Dayton, OH: James M Cox/Dayton International",125,11,3.86,2.66,2.48,0,2,0,0
2015,1,DL,Delta Air Lines Inc.,DTW,"Detroit, MI: Detroit Metro Wayne County",3892,459,146.96,26.46,139.65,0,145.93,40,2
2015,1,DL,Delta Air Lines Inc.,BOS,"Boston, MA: Logan International",1275,274,59.72,14.05,129.47,0,70.76,87,0
2015,1,DL,Delta Air Lines Inc.,DEN,"Denver, CO: Denver International",555,83,33.94,4.57,28.95,1,14.53,5,1
2015,1,DL,Delta Air Lines Inc.,HNL,"Honolulu, HI: Honolulu International",263,55,7.59,1,39.19,0,7.22,0,0
2015,1,DL,Delta Air Lines Inc.,OMA,"Omaha, NE: Eppley Airfield",162,21,10.49,0.37,4.7,0,5.44,0,0
2015,1,DL,Delta Air Lines Inc.,AVL,"Asheville, NC: Asheville Regional",61,8,3,0.32,3.08,0,1.6,0,0
2015,1,DL,Delta Air Lines Inc.,SDF,"Louisville, KY: Louisville International-Standiford Field",211,29,14.02,0.28,4.35,0,10.36,0,0
2015,1,DL,Delta Air Lines Inc.,EWR,"Newark, NJ: Newark Liberty International",410,74,21.5,1.83,35.8,0,14.86,22,1
2015,1,DL,Delta Air Lines Inc.,STT,"Charlotte Amalie, VI: Cyril E King",99,11,1.58,2.5,3.66,0,3.26,0,0
2015,1,DL,Delta Air Lines Inc.,LGA,"New York, NY: LaGuardia",2216,517,87.59,17.59,277.26,0,134.57,130,10
2015,1,DL,Delta Air Lines Inc.,JAX,"Jacksonville, FL: Jacksonville International",322,46,14.78,2.81,12.75,0,15.67,0,0
2015,1,DL,Delta Air Lines Inc.,RNO,"Reno, NV: Reno/Tahoe International",88,6,1.95,0,2.77,0,1.28,0,0
2015,1,DL,Delta Air Lines Inc.,PIT,"Pittsburgh, PA: Pittsburgh International",258,31,13.06,2.53,6.25,0,9.16,0,0
2015,1,DL,Delta Air Lines Inc.,CMH,"Columbus, OH: Port Columbus International",241,33,15.24,1.21,7.79,0,8.75,0,0
2015,1,DL,Delta Air Lines Inc.,MEM,"Memphis, TN: Memphis International",330,32,14.33,2.93,3.94,0,10.79,0,0
2015,1,DL,Delta Air Lines Inc.,MSO,"Missoula, MT: Missoula International",38,8,5.34,0,0.43,0,2.23,0,0
2015,1,DL,Delta Air Lines Inc.,PBI,"West Palm Beach/Palm Beach, FL: Palm Beach International",512,71,25.99,7.89,18.95,0,18.17,8,0
2015,1,DL,Delta Air Lines Inc.,MKE,"Milwaukee, WI: General Mitchell International",363,37,14.61,0.71,13.55,0,8.13,0,0
2015,1,DL,Delta Air Lines Inc.,MSY,"New Orleans, LA: Louis Armstrong New Orleans International",566,56,18.74,2.34,20.31,0,14.62,6,4
2015,1,DL,Delta Air Lines Inc.,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",407,47,26.85,1.87,7.64,0,10.65,0,0
2015,1,DL,Delta Air Lines Inc.,MCI,"Kansas City, MO: Kansas City International",311,28,15.19,0.53,5.75,0,6.52,4,0
2015,1,DL,Delta Air Lines Inc.,GRR,"Grand Rapids, MI: Gerald R. Ford International",175,22,8.23,1.02,7.41,0,5.34,0,0
2015,1,DL,Delta Air Lines Inc.,MCO,"Orlando, FL: Orlando International",1371,200,69.54,15.68,71.86,0,42.92,18,1
2015,1,DL,Delta Air Lines Inc.,TPA,"Tampa, FL: Tampa International",964,128,46.22,10.56,36.74,0,34.48,12,0
